menu,bahan,langkah,hasil,kalori_kkal,lemak_g,karbohidrat_g,protein_g,serat_g,kolesterol_mg,gambar_url
bolu cup,keju serbaguna telur gula pasir tepung terigu putih keperluan,kocok telur gula mengembang tambahkan tepung masukkan cup taburin keju panggang dg suhu c menit,25 porsi,59,1.3,9.88,1.87,0.2,37,https://m.ftscrt.com/static/recipe/83f65312-9b0e-438d-8a5e-9a6f722799c4.jpg
kue muesli,telur tropical muesli madu,campur bahan bentuk kue sebarkan loyang panggang oven menit suhu c,7 porsi,78,1.8,13.85,2.08,1.5,27,https://m.ftscrt.com/static/recipe/50ad7400-c810-487d-ba9c-2909754e3567.jpg
sup baso ikan,kaldu jamur sawi hijau garam minyak wijen daun bawang bakso ikan gelas air sawi putih,siapkan bahan masak air mendidih tambhan minyak wijen kaldu garam cicipi masukan baso tekakhir masukan sayuran siapkan wadah,2 porsi,71,1.26,7.47,6.91,0.4,31,https://m.ftscrt.com/static/recipe/8580b817-a7ad-40a4-b539-36a66c272e7f.jpg
oseng tahu,sejumput garam laut minyak jagung sejumput lada hitam minyak wijen bawang bombay dimasak tahu saus tiram kubis daun bawang,iris bawang bombay daun bawang kubis sesuai selera siapkan wajan anti lengket corn oil masukkan daun bawang tumis harum masukkan bombay tumis harum kecilkan api masukkan tahu lancurkan oseng air tahu mengering tambahkan minyak wijen saus tiram lada garam oseng tercampur detik,2 porsi,231,18.41,8.76,10.85,1.6,0,https://m.ftscrt.com/static/recipe/a3d44e24-04bd-46fd-a0d8-23d956535cd2.jpg
nasi goreng,saus sambal kecambah minyak wijen saus tiram kubis wortel nasi merah butir dimasak nasi putih butir dimasak,tulis wortel menit masukkan gubis tumis masukkan nasi tumis masukkan kecambah tambahkan saus sambal saus tiram minyak wijen,2 porsi,207,7.51,31.29,4.09,3.8,0,https://m.ftscrt.com/static/recipe/5cd27966-6e93-4ebe-a947-e6fee9ccca74.jpg
oat pisang,mentega oatmeal pisang,hancurkan pisang tambahkan oatmeal mentega cair aduk bentuk kue letakkan loyang panggang menit suhu c,2 porsi,163,3.89,32.95,2.29,3.0,0,https://m.ftscrt.com/static/recipe/2c22fed6-9d01-4a23-8ec2-69524b996291.jpg
brownies oat,tepung pati jagung fiber creme instant oatmeal minyak kanola dark compound chocolate telur cocoa powder unsweetened brown sugar,lelehkan dark chocolate minyak menyisihkan campur bahan tersisa tambahkan campuran cokelat leleh campur tempatkan adonan cetakan hiasi sesuai panggang menit suhu c,16 porsi,158,8.67,18.53,2.16,2.7,23,https://m.ftscrt.com/static/recipe/1873a361-9cc2-4a58-9b72-94dc14ad402a.jpg
muffins pisang,bungkus stevia sweetener scoop impact whey isolate gelas kering rolled oats putih telur ekstrak vanila kayu manis pisang madu baking soda,pisahkan telur kocok putih telurnya hancurkan pisang tambahkan putih telur vanila madu campur aduk sisa bahan aduk cangkir muffin hiasi sesuai kukus menit,4 porsi,113,0.9,19.51,7.86,2.2,0,https://m.ftscrt.com/static/recipe/df691189-1f14-4951-8438-d499a858afac.jpg
kue chiffon,minyak goreng keju cheddar putih telur kuning telur gula pasir air tepung terigu putih keperluan,kocok putih telur gr gula kaku wadah kocok kuning telur gr gula berbusa tambahkan air minyak aduk tambahkan tepung aduk campurkan campuran tempatkan loyang kue hiasi keju cheddar atasnya panggang oven suhu c menit tunggu dingin keluarkan loyang,12 porsi,181,9.88,17.29,5.67,0.2,112,https://m.ftscrt.com/static/recipe/b05f9837-76de-4381-870b-aec03a429d31.jpg
banana oatmeal pancake,oatmeal putih telur minyak zaitun pisang air,masukan pisang oatmeal air blender blender halus pindah mangkuk masukan putih telur kocok sendok tercampur masak teflon minyak zaitun masak matang,4 porsi,121,4.11,18.8,3.22,2.3,0,https://m.ftscrt.com/static/recipe/dbbc47a7-dd6d-4c2f-b4eb-b7a7644b7e53.jpg
pancake oat,gandum susu rendah lemak putih telur,panaskan pan api panas kecilkan api campur bahan bahan tambahkan sweetener pengganti gula manis gapapa tercampur bahan tuang adonan pan dipanaskan api tunggu matang pancake oat hidangkan tambahkan topping sehat,1 porsi,203,1.07,28.83,14.69,11.0,2,https://m.ftscrt.com/static/recipe/a1abfe56-0808-427f-8d7d-cd9076f52dec.jpg
tumis oatmeal dengan sayur,bawang putih bawang merah oatmeal sejumput lada garam mangkok dicincang wortel mangkok bayam bawang daun,sangrai oatmeal menit tercium bau tekstur nya garing sisihkan tumis bawang merah bawang putih bawang daun harum masukkan garam lada putih air cangkir masak menit sayur matang masukkan oatmeal disangrai kental masukkan air air terserap hidangkan,1 porsi,273,0.5,59.94,7.1,19.9,0,https://m.ftscrt.com/static/recipe/885bc0b8-43e2-4fb5-a3df-80f288546edb.jpg
sup labu energi,gelas susu lemak labu kuning tepung,potong labu berbentuk sabit semangka potong kulit biji dikupas kukus matang menit tujuan labu empuk diblender keluarkan labu kukusan biarkan sebentar dingin kupas kulit buang bijinya potong dadu blender ditambah air labu diblender tuang panci masak api perlahan tambahkan susu kekentalan tergantung selera tambahkan sdm tepung maizena mengentalkan sup penyajian dimakan selagi hangat dingin simpan kulkas,1 porsi,249,0.8,52.28,14.29,2.8,5,https://m.ftscrt.com/static/recipe/bdd562de-360f-4958-ac06-efa8f74b18a1.jpg
sup pembakar lemak,ons bawang bombay mangkok kembang kol paprika utuh tomat,potong bahan rebus air mendidih masukan tunggu menit masak,4 porsi,48,0.85,9.66,2.27,3.1,0,https://m.ftscrt.com/static/recipe/a5f44f92-c03d-41e4-8283-1543f3a565c9.jpg
mie shirataki goreng,minyak goreng sambal bawang kecap manis dada ayam telur omega cherry tomatoes mie kering shirataki sejumput salt buah utuh portabella mushrooms,panaskan wajan minyak tumis irisan dada ayam jamur tambahkan telur orak arik irisan tomat bahan masak matang pindahkan piring sajikan menikmati,2 porsi,175,5.92,19.05,9.13,2.8,19,https://m.ftscrt.com/static/recipe/abd8c1bf-00db-4577-bef7-37e806f6a641.jpg
ayam dengan jagung dan kacang,cabai merah rawit daging dada ayam ayam pedaging dipanggang dimasak buncis jagung manis kuning bawang putih,hancurkan bawang putih merica panaskan tempel wajan antilengket tambahkan ayam tambahkan air sesuai kebutuhan masukkan jagung buncis didihkan menit sajikan piring,1 porsi,200,4.5,18.28,24.91,4.6,59,https://m.ftscrt.com/static/recipe/52a2791c-02c5-4e19-9e11-a427b4c09d1d.jpg
sup sosis dengan sayuran,telur sosis sapi ayam buncis wortel,rebus air masukkan irisan sayuran masukkan irisan sosis telur kocok bumbui sesuai masak menit,1 porsi,256,11.33,21.09,19.04,6.2,212,https://m.ftscrt.com/static/recipe/c699f3a9-85c4-4433-8630-e1f3a0f22096.jpg
sop tulang iga sapi,tomat wortel iga sapi potongan diiris cm lemak,rebus daging sapi air menit tambahkan irisan sayuran isi air sesuai kebutuhan bumbui sesuai selera masak empuk sajikan mangkuk hiasi sesuai,2 porsi,157,9.75,6.75,10.57,2.0,35,https://m.ftscrt.com/static/recipe/a45f85bd-08a4-44df-b270-dd8125b91e21.jpg
ikan tongkol asam pedas,bawang merah ikan tongkol cabai merah rawit siung bawang putih asam jawa,rebus tuna air empuk tiriskan potong wajan diolesi minyak tumis bahan harum tambahkan tuna aduk didihkan menit,4 porsi,100,0.63,18.39,7.04,1.9,10,https://m.ftscrt.com/static/recipe/62115826-a37b-4023-bb93-ca910f630ac2.jpg
rebusan tahu dengan kecambah,saos tiram minyak goreng garam siung bawang putih kecambah tahu utuh tomat merah air,potong tahu sayuran panaskan minyak wajan tumis bawang putih keemasan tambahkan air biarkan mendidih masukkan sisa bahan bumbui masak empuk,4 porsi,61,3.83,3.65,4.44,1.0,0,https://m.ftscrt.com/static/recipe/6dc70086-7a21-4ce8-92fc-99919b3cc6d1.jpg
mangkuk sushi salmon,nori kecap wijen panggang mayones nasi porang ikan salmon panggang,suwir salmon matang garpu masukkan nasi mangkuk tambahkan bahan hiasi nori,1 porsi,792,67.38,7.56,22.58,0.4,54,https://m.ftscrt.com/static/recipe/99c55dcc-b492-4c67-b37a-b48850cda670.jpg
"salad sayur dengan ayam, tahu, dan tempe",saus salad pulau seribu tahu daging ayam panggang bakar dimasak kubis selada daun hijau tempe,potong potong ayam tahu tempe masak wajan antilengket empuk masukkan bahan mangkuk sajikan segar,2 porsi,195,9.88,9.59,18.78,2.0,28,https://m.ftscrt.com/static/recipe/bc7164ab-3020-45ba-8316-2e1858b1cdd7.jpg
nasi pizza dengan ayam dan sayuran,kaldu jamur wortel dimasak mentega telur dada ayam nasi putih buncis,potong dadu dada ayam wortel rebus air buncis menit giling blender kecuali mentega panaskan wajan mentega masak campuran berwarna keemasan,3 porsi,234,11.46,19.4,13.29,0.5,80,https://m.ftscrt.com/static/recipe/5fda7cad-57c6-4c75-a192-59d17405dc2c.jpg
kari tuna,stevia sweetener bumbu gulai santan bubuk ikan tuna cabai merah rawit kunyit,campur bubuk larutkan air masukkan panci didihkan diaduk tambahkan tuna merica masak empuk,7 porsi,76,1.36,2.24,13.63,0.6,26,https://m.ftscrt.com/static/recipe/31e98b8e-c8a1-4fee-9fda-811b9f6b4bde.jpg
ayam rica rica,royco ayam lengkuas sendok makan minyak goreng sawit ayam garam laut bawang merah gula pasir cabai merah rawit kemangi bawang putih jahe kacang kemiri,cuci bersih ayam lumuri garam royco diamkan menit kukus matang haluskan cabai bawang merah bawang putih jahe kemiri lengkuas panaskan minyak tumis bumbu halus masukan gula pasir tumis harum tambahkan air masukan ayam masak air susut masukan daun kemangi masak matang angkat sajikan,5 porsi,219,14.4,5.88,17.83,2.3,53,https://m.ftscrt.com/static/recipe/67c86617-b111-4812-94df-6e196542c596.jpg
tumis kacang panjang dan tauge,bawang merah kecambah cabai merah rawit minyak sayur canola siung bawang putih kacang hijau gelas air,potong sayuran dibutuhkan tumis cabai bawang merah bawang putih minyak canola masukkan tauge kacang pang air diamkan layu,2 porsi,91,7.31,6.11,2.03,2.6,0,https://m.ftscrt.com/static/recipe/f9de6871-91cd-488b-a936-24b10b620606.jpg
beef patty,lada putih bubuk roti tawar telur bawang putih bubuk daging sapi bawang bombay garam,haluskan daging roti tawar mangkuk campurkan daging giling bumbu bumbu bawang bombay dicincang halus masukkan telur aduk adonan bentuk bulat pipih grill pan anti lengket,8 porsi,230,13.69,6.67,18.88,0.2,101,https://m.ftscrt.com/static/recipe/0b6a6087-907b-4b64-a692-c405b1c31153.jpg
sawi tumis,kaldu jamur sawi hijau bawang putih,potong sawi bawang tumis bawang minyak tbahkan air tambahkan kaldu jamur tunggu matang,1 porsi,53,0.69,9.09,3.75,2.2,0,https://m.ftscrt.com/static/recipe/cdf3a6c3-0d2e-4b27-9d55-2a0f790347ff.jpg
tumis labu siam,bawang merah minyak goreng cabai merah rawit labu siam bawang putih daun bawang air,tumis bawang merah bawang putih cabe rawit daun bawang minyak goreng masukkan labu siam dipotong potong masukkan air tambahkan bumbu disukai garam merica,5 porsi,61,5.07,4.15,0.79,1.5,0,https://m.ftscrt.com/static/recipe/14038ad5-00e1-4e1a-bae2-f6dc45e0c713.jpg
dimsum ayam udang,lada putih bubuk garam laut kecap asin udang telur kaldu jamur tepung tapioka paha ayam minyak wijen wortel bawang putih kulit pangsit gula pasir,cuci bersih udang potong sisihkan masukkan bahan food proccesor kecuali udang kulit pangsit blender halus adonan halus tambahkan udang potong diaduk masukan kulit lumpia kukus menit,27 porsi,50,1.89,4.26,3.7,0.2,25,https://m.ftscrt.com/static/recipe/3706ad65-28e5-420e-85c3-8726c33d1d32.jpg
dada ayam suwir,royco ayam minyak goreng cabai merah rawit siung bawang putih dada ayam bawang merah gula pasir,rebus dada ayam matang suwir sesuai selera tumis cabe rawit bawang merah bawant putih yg haluskan wangi minyak masukkan dada ayam yg suwir aduk tambahkan kaldu ayam gula hidangkan,1 porsi,283,14.3,22.34,18.37,3.5,46,https://m.ftscrt.com/static/recipe/96477924-0da3-447d-b309-dc6323c9ae4a.jpg
tumis jamur daging brokoli,sugar minyak goreng saus lada hitam salt mushrooms chili broccoli onions beef thin sliced cured,iris tipis jamur potong potong brokoli iris tipis bawang bombai cabe tumis bawang bombai minyak goreng tambahkan daging jamur brokoli dimasak cabai tuangkan saus garam membumbui masak matang sajikan,3 porsi,79,2.11,7.38,8.39,1.7,10,https://m.ftscrt.com/static/recipe/2dbe28b4-3cc3-4b27-9af4-eee3c178fcad.jpg
bakso kentang fettuccine,bakso daging sapi fettuccine bolognese sauce siung bawang putih cabai merah rawit bawang merah kentang daging garam direbus,rebus kentang fettuccine menit tumis bakso bawang putih bawang merah cabai yg potong masukan bolognese sauce tumis harum bakso,1 porsi,343,7.65,60.41,11.64,8.9,23,https://m.ftscrt.com/static/recipe/790ff7ca-0a72-4792-89bd-ecc6a652a4b0.jpg
oseng cabe tahu tempe,minyak goreng buah tempe goreng buah tahu goreng cabai merah rawit bawang merah,goreng tahu tempe minyak matang angkat tiriskan tumis bawang merah sisa minyak goreng masak makan masukkan irisan cabe masak matang masukkan gorengan tempe tahu tambahakan garam disajikan,5 porsi,165,9.4,20.14,7.15,13.5,0,https://m.ftscrt.com/static/recipe/cea1375a-fe97-474b-bfd1-06c7d4fd2b13.jpg
teriyaki beef,lada putih bubuk kecap manis soy sauce saus bumbu tiram minyak wijen bawang bombay bawang putih bubuk garam jahe gula pasir daging sapi top sirloin diiris cm lemak,marinasi daging kecap asin kecap manis minyak wijen saos tiram garam gula bawang putih lada putih jahe menit masak daging minyak matang air masukkan bawang bombay masak layu hidangkan,2 porsi,366,20.95,15.15,26.71,0.4,51,https://m.ftscrt.com/static/recipe/a4c414f5-e832-435f-8e53-8a28a7c2f037.jpg
tumis sayur dengan telur,saos tiram kecap manis minyak goreng telur garam kecambah mentimun kulit siung bawang putih kubis,cuci bersih toge kol timun potong sesuai selera kupas cincang siung bawang putih panaskan sdm minyak masukan telur diorak arik masukin bawang putih tumis sebentar masukan sayuran air masukan garam saus tiram kecap manis masak matang sajikan,1 porsi,379,20.92,38.57,13.47,6.1,212,https://m.ftscrt.com/static/recipe/4f548523-4d8b-4d36-b03f-0c5735169f9e.jpg
sawi tumis tauge,msg minyak goreng sawit sejumput garam kecambah sawi bawang merah bawang putih,potong sawi cuci bersih kecambah sisihkan iris duo bawang merah bawang putih tumis minyak masukkan sawi tumis bumbui matang disajikan,2 porsi,91,5.16,9.38,4.85,3.6,0,https://m.ftscrt.com/static/recipe/9678b8f6-279f-402f-93ad-b4b7ac8a4c03.jpg
bola ikan udang wortel,lada putih bubuk sendok kaldu jamur saus tiram udang ikan tenggiri bawang bombay telur utuh wortel,kupas udang buang tulang tenggiri campur bahan food processor bumbui sesuai bola bola g masukkan kukusan masak menit,26 porsi,30,0.9,1.12,4.08,0.1,31,https://m.ftscrt.com/static/recipe/030ed9ca-c7aa-4fb0-aa65-b06fded812c2.jpg
rebusan ayam saus tiram,sejumput garam laut minyak goreng kecap manis saos tiram dada ayam bawang bombay sejumput lada hitam siung bawang putih daun bawang,campurkan saus tiram kecap asin merica air mangkuk potong ayam kubus rendam saus tumis bawang putih daun bawang bawang bombay wajan minyak aduk harum masukkan ayam dimarinasi saus garam rebus daging berwarna cokelat muda,1 porsi,329,12.76,21.29,29.87,0.2,83,https://m.ftscrt.com/static/recipe/1501c581-d0d2-45cb-8d5f-d9dc2429e094.jpg
tumis udang dan bakso,lada putih bubuk cabai merah saos tiram udang bakso daging sapi bakso ayam siung bawang putih wortel kembang kol,cuci udang kupas potong sayuran tumis bawang putih wajan diolesi minyak harum tambahkan saus tiram masukkan udang bakso sayuran bumbui didihkan matang,2 porsi,164,3.98,14.18,17.68,3.4,106,https://m.ftscrt.com/static/recipe/47cd050c-b42e-43f7-9fa5-1ca1a92c18cd.jpg
tumis sayuran dengan ayam,lada putih bubuk saos tiram tepung maizena irisan tipis ayam bawang merah bonggol jagung siung bawang putih wortel sawi hijau,potong potong ayam sayuran tumis bawang putih bawang bombay wajan harum masukkan ayam aduk sebentar daging berubah warna putih masukkan sisa sayur bumbu tepung maizena dilarutkan air masak matang sajikan,1 porsi,197,1.54,114.19,6.04,5.1,6,https://m.ftscrt.com/static/recipe/0bab4c86-639b-4864-a149-33aa264df753.jpg
ayam teriyaki,jumput msg saori saus teriyaki kecap manis saus sambal sejumput garam bawang bombay daging dada ayam ayam pedaging dipanggang dimasak air,wajan panas air tumis bawang bombay cabai dicincang tambahkan air potongan ayam wajan aduk menit tambahkan bahan tersisa aduk pindahkan piring matang,1 porsi,204,2.78,26.2,15.89,0.4,42,https://m.ftscrt.com/static/recipe/feb6715d-5000-42e8-8fe4-ad3e48859fab.jpg
brokoli bawang putih,olive oil kaldu jamur sosis saus tiram garam brokoli siung bawang putih gula pasir,bersihkan brokoli potong rendam larutan garam menit cincang bawang putih goreng bawang putih ollive oil sampe kecoklatan sisihkan tumis bawang putih masukan brokoli sosis tambahkan air tutup tunghu brokoli layu tambahkan saus tiram gula pasir garam kaldu jamur hidangkan brokoli siramkan bawang putih goreng diatasnya,1 porsi,190,11.67,15.3,8.03,2.8,0,https://m.ftscrt.com/static/recipe/09ebf138-010f-461b-8857-36d774e90964.jpg
ayam suwir kemangi,olive oil bawang merah utuh tomat dada ayam cabai merah rawit kunyit siung bawang putih kemangi,rebus ayam suwir tumis bawang merah bawang putih tomat minyak zaitun tambahkan air suwiran ayam kemangi kunyit cabai garam merica disajikan,1 porsi,314,14.41,15.16,32.93,5.6,83,https://m.ftscrt.com/static/recipe/74e6ca8a-f36e-4740-a38d-938e8c3ddbaf.jpg
suwir ayam creamy,sejumput garam laut lada putih bubuk non fat milk minyak goreng tropical dada ayam rebus kulit dimakan kaldu jamur keju cheddar bawang putih tomat merah,rebus dada ayam suwir panaskan minyak tumis bawang putih kecoklatan masukan tomat cincang aduk sebentar masukan dada ayam suwir aduk tuangkan susu non fat bumbui lada garam kaldu jamur masukan keju aduk,2 porsi,319,9.89,9.5,44.93,0.2,116,https://m.ftscrt.com/static/recipe/3b6be690-fd29-4763-ac82-f9c1a1482aa9.jpg
sup daging sapi dengan kacang panjang,tomat kacang hijau segar siung bawang putih jahe mangkok daun bawang bawang merah iga sapi potongan diiris cm lemak daging sapi lemak lemak,cuci bersih daging sapi iga sapi potong daging masak rebus menit matikan api diamkan kompor menit lanjutkan proses memasak merebusnya menit haluskan bawang merah bawang putih jahe iris kacang tomat daun bawang tumis bumbu halus minyak harum tambahkan air daging sapi iga biarkan mendidih mendidih masukkan kacang tomat bumbui garam kaldu jamur matang matikan api masukkan daun bawang dipotong potong,4 porsi,247,9.66,19.89,20.84,3.8,56,https://m.ftscrt.com/static/recipe/07e8e1e9-2c1b-4a48-9a38-599417f692c2.jpg
tumis brokoli jamur,margarin minyak wijen saos tiram daging sapi giling brokoli jamur shimeji bawang putih,tumis bawang putih mentega wangi masukkan daging jamur masak matang masukkan brokoli masukkan saus tiram minyak wijen tumis matang,2 porsi,283,17.91,8.54,22.3,2.4,66,https://m.ftscrt.com/static/recipe/526a28eb-b264-4f4b-85e4-f0fb9ed7af5c.jpg
sop,minyak goreng bumbu racik sayur sop jamur enoki kaldu jamur brokoli dimasak segar bawang merah ons tulang dada ayam rebus porsi udang kukus rebus garam cabai merah rawit kulit ayam wortel bawang putih tomat merah gula pasir,tumis bawang merah bawang putih cabai optional pedas minyak wangi masukkan air kedalam tumisan biarkan air mendidih masukan ayam udang sayur sayuran kedalam air tambahkan garam gula kaldu racik sayur sop sesuai selera tunggu matang,2 porsi,353,14.89,26.47,28.6,6.0,122,https://m.ftscrt.com/static/recipe/4023f8aa-f35d-4576-aa54-f67ab88a7e1a.jpg
chicken ramen shirataki,minyak goreng royco kaldu sapi mie kering dada ayam kulit dimakan kecambah bawang merah siung bawang putih gelas air wortel tomat merah,iris ayam tipis tipis potong potong tomat wortel sesuai cincang bawang merah bawang putih panaskan minyak tumis bawang merah bawang putih tomat masukkan air tunggu mendidih masukkan ayam royco perlahan ayam matang keluarkan ayam rebusan masukkan sayuran mie shirataki tunggu matang,1 porsi,426,4.95,60.77,34.2,10.1,84,https://m.ftscrt.com/static/recipe/0e455b1a-5bb4-44af-aeb0-c1dbe28b9fad.jpg
pokcoy ayam saus tiram,tepung pati jagung saos tiram kecap manis light sejumput lada hitam pakcoy bawang bombay siung bawang putih jahe daging dada ayam ayam pedaging air,larutkan maizena air didihkan air rebus pokcoy menit hapus panas tiriskan wajan panas tumis bawang putih jahe bawang bombay harum masukkan ayam dipotong potong wajan masak berubah warna tambahkan saus tiram kecap asin merica air tepung maizena dilarutkan aduk biarkan bumbu meresap angkat api tata pokcoy piring tuangkan ayam dimasak,1 porsi,327,2.66,25.38,47.66,1.6,116,https://m.ftscrt.com/static/recipe/9f7c5bda-700d-4a3b-b9dc-b05623d4193a.jpg
chicken deopbap,young green onions soy sauce chicken thigh egg cups cooked young green onion,tumis ayam minyak kecoklatan masukan bawang bombay tumis layu dgn ayam td masukan air tunggu mendidih masukan telur yg dikocok lepas masukan kecap asin daun bawang bumbui garam merica sesuai selera tutup wajan telur matang,1 porsi,428,25.95,26.96,26.48,8.9,237,https://m.ftscrt.com/static/recipe/3c5227c1-5a1e-4d97-a76b-5bae54c2b336.jpg
semur tahu,takaran royco ayam sendok makan minyak goreng sawit kecap manis sendok saus sambal tahu cabai merah siung bawang putih utuh tomat merah gelas air bawang merah,wajan panas minyak tumis bawang putih bawang merah cabai merah tambahkan tomat cincang air kecap masukkan tahu saus sambal campur masak kental tambahkan royco aduk pindahkan mangkuk,2 porsi,212,7.23,32.8,5.84,2.5,0,https://m.ftscrt.com/static/recipe/4f948cfc-5dc3-4448-9dd5-a4fe7fa1c8de.jpg
tumis tahu telur wortel,tahu kacang hijau putih telur siung bawang putih wortel bawang merah utuh tomat merah,tumis bawang putih bawang merah bawang putih dicincang halus masukkan tomat iris tumis layu wangi tambahkan garam kemuadian masukkan air masukkan tahu putuh telur masukkan kacang wortel tumis matang,1 porsi,252,5.75,39.01,16.88,10.1,0,https://m.ftscrt.com/static/recipe/bcd9772a-1e28-40c4-b414-6c96127409bb.jpg
cumi lada hitam,sendok saus lada hitam sendok makan minyak goreng cumi cumi tomat ceri bawang bombay cabai merah air,belah bawang bombay iris memanjang setengahnya tumis minyak harum masukan cumi cabai saos lada hitam air masukan tomat tumis masak,4 porsi,107,3.36,6.46,12.17,0.6,175,https://m.ftscrt.com/static/recipe/0ffeccac-d8aa-4aef-8ccc-91bd05d5a335.jpg
salad sayur,jeruk nipis mangkok irisan paprika merah manis kemangi mangkok irisan mangga mangkok dicincang kale bawang bombay bayam bengkoang,potong iris bahan sesuai selera tambahkan perasan jeruk nipis tambahkan lada garam aduk,1 porsi,134,0.74,32.69,3.26,8.9,0,https://m.ftscrt.com/static/recipe/c6e3392f-b02f-444e-a1be-e0625c349c6e.jpg
cumi hitam,sachet sweetener classic saos tiram minyak goreng cumi cumi bawang merah cabai merah garam cabai merah rawit bawang putih,potong potong cumi sesuai selera iris bawang merah bawang putih cabai panaskan minyak tumis bawang layu masukkan cabai garam gula saus tiram masukkan cumi aduk aduk air masak menit hidangkan,3 porsi,278,12.43,16.89,25.76,2.6,355,https://m.ftscrt.com/static/recipe/80858e59-f063-41a2-8bbe-ad31e69894d7.jpg
chicken teriyaki,boncabe level lada putih bubuk saus teriyaki cup chopped broccoli siung garlic chicken breast skin not eaten onions scallions or spring onions enoki mushrooms,panggang ayam matang masukkan bawang merah bawang putih tumis masukkan brocoli teriyaki saus boncabe lada aduk layu masukkan jamur enoki scallions masak,1 porsi,304,3.69,32.81,31.57,5.2,72,https://m.ftscrt.com/static/recipe/648b76e6-e4c3-4674-8eb3-eec94d151e5f.jpg
tempe teriyaki,sendok makan minyak goreng sendok saus sambal saus teriyaki siung bawang putih iris daun bawang lada pisang tempe,potong tempe panggang tempe api minyak tumis bawang putih minyak masukan saos teriyaki saos sambal makan masukkan sejumput lad tambahkan air masukkan tempe yg dipanggamg diamkan bumbu meresap api bumbu meresap mengering taruh tempe piring taburi daun bawang tempe sajikan,1 porsi,484,19.87,51.74,18.94,0.5,0,https://m.ftscrt.com/static/recipe/c250a11e-172b-4479-b2b6-1e6985fad605.jpg
tumis ayam tahu telur,sejumput garam laut saos tiram minyak goreng aqua telur tahu siung bawang putih dada ayam,potong potong dadu ayam tahu geprek bawang putih rajang tumis bawang putih minyak goreng harum masukkan ayam tahu air masak matang masukkan saus tiram tumis ayam tahu matang masukkan telur tumis telur matang tes asin garam tumis matang sajikan,1 porsi,461,27.12,4.41,47.59,0.3,316,https://m.ftscrt.com/static/recipe/86c26762-01f2-4a28-904a-6c539f1428e0.jpg
oseng tahu buncis telur,saori saus teriyaki royco ayam minyak goreng telur cabai merah rawit tahu siung bawang putih buncis,panaskan minyak masukkan bawang putih cincang orak arik telur tambahkan tahu potong dadu air tambahkan saus teriyaki royco cabai kacang buncis masak sebentar matang,5 porsi,77,4.9,4.68,4.89,1.8,37,https://m.ftscrt.com/static/recipe/bd55ba59-2c6d-440e-8641-89ab03a267cc.jpg
capcay toge,royco ayam minyak goreng sayur toge tongkol bonggol jagung kacang hijau bawang merah sejumput garam gula pasir wortel air,tumis bawang merah diiris iris minyak panas masukkan wortel toge jagung kacang tambahkan air ml tambahkan bumbu bumbu penyebab garam gula royco sesuai selera tunggu air menyusut dihidangkan,2 porsi,200,5.51,23.42,20.31,4.0,0,https://m.ftscrt.com/static/recipe/7b071d87-c929-4812-91ad-b54eca1796d9.jpg
spaghetti,sejumput garam laut kaldu jamur quick melt keju minyak goreng tropical spaghetti gluten free bawang bombay gelas air udang jamur dimasak lemak masakan cabai merah rawit wortel bawang putih,siapkan bahan bawang puith bombai cabe rawit cuci bersih chop rebus spagheti tambahkan sejumput garam minyak rebus spagheti aldente menit bersihkan udang bersih tdk amis iris wortel berbentuk korek api bersihkan jamur tumis bahan bawang putih bombai rawit masukkan udang tumis matang masukkan wortel jamur tambahkan air rebusan spagheti tumis masukkan spagheti masak sebentar tambahkan keju diparut disajikan,1 porsi,693,26.37,71.94,44.5,7.5,237,https://m.ftscrt.com/static/recipe/ec423167-afa7-4b00-a708-b72015a00d3f.jpg
udang tumis brokoli,royco ayam bawang bombay bawang merah goreng udang bubuk cabai kecap manis bawang putih bubuk garam brokoli,rebus udang matang dgn air masukkan brokoli bumbu rebus air,6 porsi,334,5.72,8.87,58.79,1.2,429,https://m.ftscrt.com/static/recipe/e6865564-f148-4263-9fb1-fc0d8796a518.jpg
sup tahu wortel,tahu cabai merah rawit garam siung bawang putih wortel kembang kol,potong kembang kol wortel tahu sesuai kreasi potong bawang putih cabai masak api menit,1 porsi,189,9.43,17.51,14.65,5.7,0,https://m.ftscrt.com/static/recipe/53bb17ad-f544-44da-9330-5157555a24c1.jpg
sesame toowoomba pasta,siung bawang putih dimasak smoked beef shin ramyun susu uht full cream  roasted sesame dressing bawang bombay dimasak,rebus shin ramyun mi instan matang tumis bawang putih dicincang halus harum masukkan daging lembu salai secukup tumis bawang masukkan ml susu uht tumisan susu mendidih masukan bumbu mi instan sdm sesame dressing masukan mie tunggu susu meresap susu mengental matikan api sesame toowoomba pasta disajikan,1 porsi,588,30.61,57.91,11.83,0.4,14,https://m.ftscrt.com/static/recipe/f237cd8c-ec83-4a88-94a0-f621c94ac930.jpg
japchae shirataki,bawang putih cincang minyak goreng kecap manis saus tiram pengganti kecap asin jamur kancing mie basah matang paprika merah manis sejumput lada hitam garam mangkok dicincang daun bawang loncang gula pasir wortel,rebua mie shirataki sampe matang tumis jamur wortel masak tambahkan garam masukan mie matang aduk tercampur masukan saus masak saus surut surut tambahkan paprika daun bawang aduk tercampur mie sajikan,4 porsi,56,1.44,10.55,1.6,3.6,0,https://m.ftscrt.com/static/recipe/454f0499-a2bc-469c-8079-d4bbe2abf1d3.jpg
