menu,bahan,langkah,hasil,kalori_kkal,lemak_g,karbohidrat_g,protein_g,serat_g,kolesterol_mg,gambar_url
Sup Pembakar Lemak,"['1. 2 ons bawang bombay', '2. 2 mangkok kembang kol', '3. 1 sedang paprika', '4. 3 utuh sedang tomat']","['1. Potong semua bahan.', '2. Rebus air sampai mendidih.', '3. Masukan dan tunggu 5 - 10 menit atau sampai masak.']",4 porsi,48,0.85,9.66,2.27,3.1,0,https://m.ftscrt.com/static/recipe/a5f44f92-c03d-41e4-8283-1543f3a565c9.jpg
Mie Shirataki Goreng,"['1. 3 ml minyak goreng', '2. 8 g sambal bawang', '3. 1 sdm kecap manis', '4. 45 g dada ayam', '5. 65 g telur omega', '6. 30 gram cherry tomatoes', '7. 75 g mie kering shirataki', '8. 1 sejumput salt', '9. 1 buah utuh portabella mushrooms']","['1. Panaskan wajan dengan minyak dan tumis irisan dada ayam dan jamur.', '2. Tambahkan telur orak-arik sebelumnya, irisan tomat, dan bahan lainnya, masak hingga matang.', '3. Pindahkan ke piring dan sajikan. Menikmati.']",2 porsi,175,5.92,19.05,9.13,2.8,19,https://m.ftscrt.com/static/recipe/abd8c1bf-00db-4577-bef7-37e806f6a641.jpg
Ayam dengan Jagung dan Kacang,"['1. 8 gram cabai merah atau rawit', '2. 69 gram daging dada ayam (ayam pedaging, dipanggang, dimasak)', '3. 27 gram buncis', '4. 50 gram jagung manis kuning', '5. 7 gram bawang putih']","['1. Hancurkan bawang putih dan merica.', '2. Panaskan tempel dalam wajan antilengket lalu tambahkan ayam. Tambahkan air sesuai kebutuhan.', '3. Masukkan jagung dan buncis. Didihkan selama 5 menit.', '4. Sajikan di atas piring.']",1 porsi,200,4.5,18.28,24.91,4.6,59,https://m.ftscrt.com/static/recipe/52a2791c-02c5-4e19-9e11-a427b4c09d1d.jpg
Sup Sosis dengan Sayuran,"['1. 1 besar telur', '2. 65 g sosis sapi & ayam', '3. 100 gram buncis', '4. 100 gram wortel']","['1. Rebus air secukupnya lalu masukkan irisan sayuran.', '2. Masukkan irisan sosis dan telur kocok.', '3. Bumbui sesuai keinginan dan masak selama 5 menit.']",1 porsi,256,11.33,21.09,19.04,6.2,212,https://m.ftscrt.com/static/recipe/c699f3a9-85c4-4433-8630-e1f3a0f22096.jpg
Sop Tulang Iga Sapi,"['1. 100 gram tomat', '2. 100 gram wortel', '3. 100 gram iga sapi (potongan kecil, diiris hingga 0.3 cm lemak)']","['1. Rebus daging sapi dengan air secukupnya selama 30 menit.', '2. Tambahkan irisan sayuran dan isi air sesuai kebutuhan.', '3. Bumbui sesuai selera dan masak hingga empuk.', '4. Sajikan dalam mangkuk dan hiasi sesuai keinginan.']",2 porsi,157,9.75,6.75,10.57,2,35,https://m.ftscrt.com/static/recipe/a45f85bd-08a4-44df-b270-dd8125b91e21.jpg
Ikan Tongkol Asam Pedas,"['1. 1 kecil bawang merah', '2. 100 gram ikan tongkol', '3. 1 sdm cabai merah atau rawit', '4. 1 siung bawang putih', '5. 100 gram asam jawa']","['1. Rebus tuna dalam air hingga empuk. Tiriskan dan potong.', '2. Dalam wajan yang sudah diolesi sedikit minyak, tumis bahan lainnya hingga harum.', '3. Tambahkan tuna dan aduk.', '4. Didihkan selama 5 menit.']",4 porsi,100,0.63,18.39,7.04,1.9,10,https://m.ftscrt.com/static/recipe/62115826-a37b-4023-bb93-ca910f630ac2.jpg
Rebusan Tahu dengan Kecambah,"['1. 7 g saos tiram', '2. 7 ml minyak goreng', '3. 1 sdt garam', '4. 2 siung bawang putih', '5. 120 gram kecambah', '6. 157 gram tahu', '7. 1/2 utuh sedang tomat merah', '8. 500 ml air']","['1. Potong tahu dan sayuran.', '2. Panaskan minyak dalam wajan dan tumis bawang putih sampai keemasan.', '3. Tambahkan air dan biarkan mendidih.', '4. Masukkan sisa bahan dan bumbui. Masak sampai empuk.']",4 porsi,61,3.83,3.65,4.44,1,0,https://m.ftscrt.com/static/recipe/6dc70086-7a21-4ce8-92fc-99919b3cc6d1.jpg
Mangkuk Sushi Salmon,"['1. 2 g nori', '2. 5 ml kecap', '3. 180 g wijen panggang mayones', '4. 40 g nasi porang', '5. 87 gram ikan salmon panggang']","['1. Suwir salmon yang sudah matang menggunakan garpu.', '2. Masukkan nasi ke dalam mangkuk.', '3. Tambahkan semua bahan dan hiasi dengan nori.']",1 porsi,792,67.38,7.56,22.58,0.4,54,https://m.ftscrt.com/static/recipe/99c55dcc-b492-4c67-b37a-b48850cda670.jpg
"Salad Sayur dengan Ayam, Tahu, dan Tempe","['1. 20 g saus salad pulau seribu', '2. 100 gram tahu', '3. 70 gram daging ayam (panggang, bakar, dimasak)', '4. 100 gram kubis', '5. 100 gram selada daun hijau', '6. 50 gram tempe']","['1. Potong-potong ayam, tahu, dan tempe. Masak dalam wajan antilengket sampai empuk.', '2. Masukkan semua bahan ke dalam mangkuk.', '3. Sajikan sampai segar.']",2 porsi,195,9.88,9.59,18.78,2,28,https://m.ftscrt.com/static/recipe/bc7164ab-3020-45ba-8316-2e1858b1cdd7.jpg
Nasi Pizza dengan Ayam dan Sayuran,"['1. 3 g kaldu jamur', '2. 10 gram wortel dimasak', '3. 2 sdm mentega', '4. 1 kecil telur', '5. 100 gram dada ayam', '6. 200 gram nasi putih', '7. 10 gram buncis']","['1. Potong dadu dada ayam dan wortel.', '2. Rebus dalam air bersama dengan buncis selama 10 menit.', '3. Giling semuanya dalam blender (kecuali mentega).', '4. Panaskan wajan dengan mentega dan masak campuran sampai berwarna keemasan.']",3 porsi,234,11.46,19.4,13.29,0.5,80,https://m.ftscrt.com/static/recipe/5fda7cad-57c6-4c75-a192-59d17405dc2c.jpg
Kari Tuna,"['1. 3 g stevia sweetener', '2. 9 g bumbu gulai', '3. 10 g santan bubuk', '4. 400 gram ikan tuna', '5. 6 gram cabai merah atau rawit', '6. 2 gram kunyit']","['1. Campur bubuk dan larutkan dengan air secukupnya.', '2. Masukkan ke dalam panci dan didihkan sambil diaduk.', '3. Tambahkan tuna dan merica. Masak hingga empuk.']",7 porsi,76,1.36,2.24,13.63,0.6,26,https://m.ftscrt.com/static/recipe/31e98b8e-c8a1-4fee-9fda-811b9f6b4bde.jpg
Ayam Rica Rica,"['1. 2 g royco ayam', '2. 5 gram lengkuas', '3. 2 sendok makan minyak goreng sawit', '4. 306 gram ayam', '5. 1 sdt garam laut', '6. 15 gram bawang merah', '7. 1/2 sdt gula pasir', '8. 35 gram cabai merah atau rawit', '9. 15 gram kemangi', '10. 10 gram bawang putih', '11. 3 gram jahe', '12. 9 gram kacang kemiri']","['1. Cuci bersih ayam lumuri garam dan royco diamkan 30 menit lalu kukus hingga matang.', '2. Haluskan cabai, bawang merah, bawang putih, jahe, kemiri, dan lengkuas.', '3. Panaskan minyak, tumis bumbu halus masukan gula pasir, tumis hingga harum tambahkan sedikit air, masukan ayam masak hingga air susut.', '4. Terakhir masukan daun kemangi, masak hingga matang angkat sajikan.']",5 porsi,219,14.4,5.88,17.83,2.3,53,https://m.ftscrt.com/static/recipe/67c86617-b111-4812-94df-6e196542c596.jpg
Tumis Kacang Panjang dan Tauge,"['1. 10 gram bawang merah', '2. 50 gram kecambah', '3. 1/4 sdm cabai merah atau rawit', '4. 1 sdm minyak sayur canola', '5. 1 siung bawang putih', '6. 100 gram kacang panjang hijau', '7. 1/2 gelas air']","['1. Potong semua sayuran yang dibutuhkan.', '2. Tumis cabai, bawang merah, bawang putih dengan minyak canola.', '3. Masukkan tauge dan kacang pang, beri air sedikit dan diamkan hingga sedikit layu.']",2 porsi,91,7.31,6.11,2.03,2.6,0,https://m.ftscrt.com/static/recipe/f9de6871-91cd-488b-a936-24b10b620606.jpg
Beef Patty,"['1. 6 g lada putih bubuk', '2. 74 g roti tawar', '3. 2 sedang telur', '4. 1 sdt bawang putih bubuk', '5. 500 gram daging sapi', '6. 100 gram bawang bombay', '7. 1 sdt garam']","['1. Haluskan daging bersama roti tawar.', '2. Dalam mangkuk besar, campurkan daging giling dengan bumbu-bumbu dan bawang bombay yang sudah dicincang halus.', '3. Masukkan telur dan aduk rata.', '4. Bagi adonan menjadi 8 bagian, bentuk bulat pipih.', '5. Grill di pan anti lengket.']",8 porsi,230,13.69,6.67,18.88,0.2,101,https://m.ftscrt.com/static/recipe/0b6a6087-907b-4b64-a692-c405b1c31153.jpg
Sawi Tumis,"['1. 5 g kaldu jamur', '2. 189 gram sawi hijau', '3. 12 gram bawang putih']","['1. Potong sawi dan bawang.', '2. Tumis bawang tanpa minyak, tbahkan sedikit air.', '3. Tambahkan kaldu jamur dan tunggu sampai matang.']",1 porsi,53,0.69,9.09,3.75,2.2,0,https://m.ftscrt.com/static/recipe/cdf3a6c3-0d2e-4b27-9d55-2a0f790347ff.jpg
Tumis Labu Siam,"['1. 27 gram bawang merah', '2. 27 ml minyak goreng', '3. 5 gram cabai merah atau rawit', '4. 329 gram labu siam', '5. 5 gram bawang putih', '6. 5 gram daun bawang', '7. 500 ml air']","['1. Tumis bawang merah, bawang putih, cabe rawit dan daun bawang dengan minyak goreng.', '2. Masukkan labu siam yang sudah dipotong-potong.', '3. Masukkan air.', '4. Tambahkan bumbu yang disukai (garam dan merica) secukupnya.']",5 porsi,61,5.07,4.15,0.79,1.5,0,https://m.ftscrt.com/static/recipe/14038ad5-00e1-4e1a-bae2-f6dc45e0c713.jpg
Dimsum Ayam Udang,"['1. 1 g lada putih bubuk', '2. 5 gram garam laut', '3. 6 ml kecap asin', '4. 100 gram udang', '5. 68 gram telur', '6. 19 gram kaldu jamur', '7. 144 g tepung tapioka', '8. 200 gram paha ayam', '9. 4 gram minyak wijen', '10. 78 gram wortel', '11. 14 gram bawang putih', '12. 92 gram kulit pangsit', '13. 15 gram gula pasir']","['1. Cuci bersih udang, potong kecil-kecil, sisihkan.', '2. Masukkan semua bahan ke food proccesor kecuali udang dan kulit pangsit.', '3. Blender sampai halus.', '4. Setelah adonan halus tambahkan udang potong kemudian diaduk.', '5. Masukan ke dalam kulit lumpia, kukus 20 menit.']",27 porsi,50,1.89,4.26,3.7,0.2,25,https://m.ftscrt.com/static/recipe/3706ad65-28e5-420e-85c3-8726c33d1d32.jpg
Dada Ayam Suwir,"['1. 2 g royco ayam', '2. 10 ml minyak goreng', '3. 1 sdm cabai merah atau rawit', '4. 1 siung bawang putih', '5. 55 gram dada ayam', '6. 2 kecil bawang merah', '7. 1 sdt gula pasir']","['1. Rebus dada ayam, setelah matang suwir sesuai selera.', '2. Tumis cabe rawit, bawang merah, bawant putih yg sudah di haluskan sampai wangi dengan minyak.', '3. Masukkan dada ayam yg sudah di suwir lalu aduk rata.', '4. Tambahkan kaldu ayam dan gula.', '5. Siap di hidangkan.']",1 porsi,283,14.3,22.34,18.37,3.5,46,https://m.ftscrt.com/static/recipe/96477924-0da3-447d-b309-dc6323c9ae4a.jpg
Tumis Jamur Daging Brokoli,"['1. 1/2 sdt sugar', '2. 3 ml minyak goreng', '3. 50 g saus lada hitam', '4. 1/2 sdt salt', '5. 100 gram mushrooms', '6. 10 g chili', '7. 60 gram broccoli', '8. 20 gram onions', '9. 70 gram beef thin-sliced (cured)']","['1. Iris tipis jamur dan potong potong brokoli.', '2. Iris tipis bawang bombai dan cabe.', '3. Tumis bawang bombai dengan minyak goreng.', '4. Tambahkan daging, jamur, dan brokoli untuk dimasak lalu cabai.', '5. Tuangkan saus dan garam untuk membumbui.', '6. Masak hingga matang. Sajikan.']",3 porsi,79,2.11,7.38,8.39,1.7,10,https://m.ftscrt.com/static/recipe/2dbe28b4-3cc3-4b27-9af4-eee3c178fcad.jpg
Bakso Kentang Fettuccine,"['1. 2 kecil bakso daging sapi', '2. 30 g fettuccine', '3. 45 g bolognese sauce', '4. 1 siung bawang putih', '5. 10 gram cabai merah atau rawit', '6. 1 kecil bawang merah', '7. 50 gram kentang (daging, dengan garam, direbus)']","['1. Rebus kentang dan fettuccine selama 5-10 menit.', '2. Tumis bakso, bawang putih, bawang merah, cabai yg sudah di potong.', '3. Masukan bolognese sauce dan tumis hingga harum bersama bakso.']",1 porsi,343,7.65,60.41,11.64,8.9,23,https://m.ftscrt.com/static/recipe/790ff7ca-0a72-4792-89bd-ecc6a652a4b0.jpg
Oseng Cabe Tahu Tempe,"['1. 1 sdm minyak goreng', '2. 10 buah tempe goreng', '3. 10 buah tahu goreng', '4. 200 gram cabai merah atau rawit', '5. 8 kecil bawang merah']","['1. Goreng tahu dan tempe dengan minyak, sampai setengah matang, kemudian angkat tiriskan.', '2. Tumis bawang merah dengan sisa minyak goreng tadi, masak sampai setengah makan.', '3. Masukkan irisan cabe, masak sampai setengah matang,.', '4. Masukkan gorengan tempe dan tahu, tambahakan garam secukupnya. Siap disajikan.']",5 porsi,165,9.4,20.14,7.15,13.5,0,https://m.ftscrt.com/static/recipe/cea1375a-fe97-474b-bfd1-06c7d4fd2b13.jpg
Teriyaki Beef,"['1. 3 g lada putih bubuk', '2. 1 sdm kecap manis', '3. 15 g soy sauce', '4. 15 g saus bumbu rasa tiram', '5. 1 sdm minyak wijen', '6. 50 gram bawang bombay', '7. 1/2 sdt bawang putih bubuk', '8. 1/2 sdt garam', '9. 1 sdt jahe', '10. 1/2 sdt gula pasir', '11. 250 gram daging sapi top sirloin (diiris hingga 0.3 cm lemak)']","['1. Marinasi Daging dengan kecap asin, kecap manis, minyak wijen, saos tiram, garam, gula, bawang putih, lada putih, jahe. Kurang lebih 15 - 30 menit.', '2. Masak Daging tanpa minyak. Sampai matang. Setelah itu beri air sedikit, kemudian jika masukkan bawang Bombay. Masak hingga layu.', '3. Hidangkan.']",2 porsi,366,20.95,15.15,26.71,0.4,51,https://m.ftscrt.com/static/recipe/a4c414f5-e832-435f-8e53-8a28a7c2f037.jpg
Tumis Sayur dengan Telur,"['1. 1 sdm saos tiram', '2. 1 sdm kecap manis', '3. 15 ml minyak goreng', '4. 1 besar telur', '5. 1/2 sdt garam', '6. 100 gram kecambah', '7. 1 mentimun (dengan kulit)', '8. 1 siung bawang putih', '9. 100 gram kubis']","['1. Cuci bersih toge, kol, timun. Potong sesuai selera. Kupas dan cincang 1 siung bawang putih.', '2. Panaskan 1 sdm minyak, masukan telur kemudian diorak arik, masukin bawang putih, tumis sebentar, masukan sayuran.', '3. Beri sedikit air, masukan garam, saus tiram dan kecap manis. Masak sampai matang. Sajikan.']",1 porsi,379,20.92,38.57,13.47,6.1,212,https://m.ftscrt.com/static/recipe/4f548523-4d8b-4d36-b03f-0c5735169f9e.jpg
Sawi Tumis Tauge,"['1. 2 g msg', '2. 10 ml minyak goreng sawit', '3. 3 sejumput garam', '4. 200 gram kecambah', '5. 67 gram sawi', '6. 19 gram bawang merah', '7. 11 gram bawang putih']","['1. Potong sawi, cuci bersih kecambah sisihkan.', '2. Iris duo bawang merah dan bawang putih, lalu tumis dengan minyak.', '3. Masukkan sawi tumis dan bumbui hingga matang siap disajikan.']",2 porsi,91,5.16,9.38,4.85,3.6,0,https://m.ftscrt.com/static/recipe/9678b8f6-279f-402f-93ad-b4b7ac8a4c03.jpg
Bola Ikan Udang Wortel,"['1. 5 g lada putih bubuk', '2. 1 1/2 sendok kaldu jamur', '3. 15 ml saus rasa tiram', '4. 100 gram udang', '5. 300 gram ikan tenggiri', '6. 34 gram bawang bombay', '7. 102 gram telur (utuh)', '8. 77 gram wortel']","['1. Kupas udang dan buang tulang di tenggiri.', '2. Campur semua bahan dalam food processor dan bumbui sesuai keinginan.', '3. Buat bola-bola (masing-masing sekitar 25 g).', '4. Masukkan ke dalam kukusan dan masak selama 20 menit.']",26 porsi,30,0.9,1.12,4.08,0.1,31,https://m.ftscrt.com/static/recipe/030ed9ca-c7aa-4fb0-aa65-b06fded812c2.jpg
Rebusan Ayam Saus Tiram,"['1. 1 sejumput garam laut', '2. 1/2 sdm minyak goreng', '3. 1 1/2 sdm kecap manis', '4. 1 sdm saos tiram', '5. 100 gram dada ayam', '6. 10 gram bawang bombay', '7. 1 sejumput lada hitam', '8. 1 siung bawang putih', '9. 2 gram daun bawang']","['1. Campurkan saus tiram, kecap asin, merica, dan sedikit air dalam mangkuk.', '2. Potong ayam menjadi kubus dan rendam dalam saus.', '3. Tumis bawang putih, daun bawang, dan bawang bombay dalam wajan dengan minyak. Aduk hingga harum.', '4. Masukkan ayam yang sudah dimarinasi dengan saus dan garam. Rebus sampai daging berwarna cokelat muda.']",1 porsi,329,12.76,21.29,29.87,0.2,83,https://m.ftscrt.com/static/recipe/1501c581-d0d2-45cb-8d5f-d9dc2429e094.jpg
Tumis Udang dan Bakso,"['1. 3 g lada putih bubuk', '2. 5 gram cabai merah besar', '3. 2 sdm saos tiram', '4. 80 gram udang', '5. 30 gram bakso daging sapi', '6. 30 gram bakso ayam', '7. 1 siung bawang putih', '8. 118 gram wortel', '9. 120 gram kembang kol']","['1. Cuci udang dan kupas. Potong sayuran.', '2. Tumis bawang putih di wajan yang sudah diolesi sedikit minyak sampai harum lalu tambahkan saus tiram.', '3. Masukkan udang, bakso, dan sayuran.', '4. Bumbui dan didihkan sampai matang.']",2 porsi,164,3.98,14.18,17.68,3.4,106,https://m.ftscrt.com/static/recipe/47cd050c-b42e-43f7-9fa5-1ca1a92c18cd.jpg
Tumis Sayuran dengan Ayam,"['1. 3 g lada putih bubuk', '2. 1 sdm saos tiram', '3. 20 g tepung maizena', '4. 1 irisan tipis ayam', '5. 1 kecil bawang merah', '6. 1 bonggol jagung kecil', '7. 1 siung bawang putih', '8. 100 gram wortel', '9. 100 gram sawi hijau']","['1. Potong-potong ayam dan sayuran.', '2. Tumis bawang putih dan bawang bombay dalam wajan sampai harum.', '3. Masukkan ayam, aduk sebentar hingga daging berubah warna menjadi putih.', '4. Masukkan sisa sayur, bumbu, dan tepung maizena yang sudah dilarutkan dalam air.', '5. Masak hingga matang lalu sajikan.']",1 porsi,197,1.54,114.19,6.04,5.1,6,https://m.ftscrt.com/static/recipe/0bab4c86-639b-4864-a149-33aa264df753.jpg
Ayam Teriyaki,"['1. 1 jumput msg', '2. 10 ml saori saus teriyaki', '3. 1 sdm kecap manis', '4. 15 g saus sambal', '5. 1 sejumput garam', '6. 25 gram bawang bombay', '7. 50 gram daging dada ayam (ayam pedaging, dipanggang, dimasak)', '8. 100 ml air']","['1. Dalam wajan panas dengan sedikit air, tumis bawang bombay dan cabai yang sudah dicincang.', '2. Tambahkan air dan potongan ayam ke dalam wajan. Aduk selama beberapa menit.', '3. Tambahkan semua bahan yang tersisa. Aduk rata dan pindahkan ke piring setelah matang.']",1 porsi,204,2.78,26.2,15.89,0.4,42,https://m.ftscrt.com/static/recipe/feb6715d-5000-42e8-8fe4-ad3e48859fab.jpg
Brokoli Bawang Putih,"['1. 5 ml olive oil', '2. 5 g kaldu jamur', '3. 30 g sosis', '4. 6 g saus tiram', '5. 1 sdt garam', '6. 100 gram brokoli', '7. 3 siung bawang putih', '8. 1/2 sdt gula pasir']","['1. Bersihkan brokoli, potong lalu rendam dalam larutan garam 5-10menit.', '2. Cincang bawang putih. Goreng bawang putih menggunakan ollive oil sampe kecoklatan, sisihkan.', '3. Tumis sedikit bawang putih.', '4. Masukan brokoli dan sosis. Tambahkan air kemudian tutup, tunghu sampai brokoli agak layu.', '5. Tambahkan saus tiram, gula pasir, garam, dan kaldu jamur.', '6. Hidangkan brokoli kemudian siramkan bawang putih goreng diatasnya.']",1 porsi,190,11.67,15.3,8.03,2.8,0,https://m.ftscrt.com/static/recipe/09ebf138-010f-461b-8857-36d774e90964.jpg
Ayam Suwir Kemangi,"['1. 5 ml olive oil', '2. 28 g bawang merah', '3. 1 utuh sedang tomat', '4. 100 gram dada ayam', '5. 5 gram cabai merah atau rawit', '6. 3 gram kunyit', '7. 1 siung bawang putih', '8. 40 gram kemangi']","['1. Rebus ayam dan suwir.', '2. Tumis bawang merah, bawang putih dan tomat dengan minyak zaitun.', '3. Tambahkan sedikit air, suwiran ayam, kemangi, kunyit, cabai, garam dan merica.', '4. Siap disajikan.']",1 porsi,314,14.41,15.16,32.93,5.6,83,https://m.ftscrt.com/static/recipe/74e6ca8a-f36e-4740-a38d-938e8c3ddbaf.jpg
Suwir Ayam Creamy,"['1. 1 sejumput garam laut', '2. 6 g lada putih bubuk', '3. 200 ml non fat milk', '4. 9 ml minyak goreng tropical', '5. 280 gram dada ayam rebus (kulit tidak dimakan)', '6. 20 gram kaldu jamur', '7. 10 gram keju cheddar', '8. 10 gram bawang putih', '9. 10 gram tomat merah']","['1. Rebus dada ayam kemudian suwir.', '2. Panaskan minyak. Tumis bawang putih hingga kecoklatan.', '3. Masukan tomat cincang, aduk sebentar.', '4. Masukan dada ayam suwir, aduk rata.', '5. Tuangkan susu non fat.', '6. Bumbui dengan lada, garam, dan kaldu jamur.', '7. Masukan keju, aduk kembali.']",2 porsi,319,9.89,9.5,44.93,0.2,116,https://m.ftscrt.com/static/recipe/3b6be690-fd29-4763-ac82-f9c1a1482aa9.jpg
Sup Daging Sapi dengan Kacang Panjang,"['1. 100 gram tomat', '2. 200 gram kacang panjang hijau (dari segar)', '3. 3 siung bawang putih', '4. 1 sdt jahe', '5. 1 mangkok daun bawang', '6. 4 sedang bawang merah', '7. 100 gram iga sapi (potongan kecil, diiris hingga 0.3 cm lemak)', '8. 250 gram daging sapi (95% tanpa lemak / 5% lemak)']","['1. Cuci bersih daging sapi dan iga sapi, potong kecil-kecil daging dan masak dengan cara 5-30-7 (rebus 5 menit, matikan api, diamkan di atas kompor selama 30 menit, dan lanjutkan proses memasak dengan merebusnya selama 7 menit lagi).', '2. Haluskan bawang merah, bawang putih dan jahe.', '3. Iris kacang panjang, tomat dan daun bawang.', '4. Tumis bumbu halus dengan minyak hingga harum, tambahkan air lalu daging sapi dan iga. Biarkan mendidih.', '5. Setelah mendidih, masukkan kacang panjang dan tomat, bumbui dengan garam dan kaldu jamur secukupnya.', '6. Jika sudah matang, matikan api dan masukkan daun bawang yang sudah dipotong-potong.']",4 porsi,247,9.66,19.89,20.84,3.8,56,https://m.ftscrt.com/static/recipe/07e8e1e9-2c1b-4a48-9a38-599417f692c2.jpg
Tumis Brokoli Jamur,"['1. 3 g margarin', '2. 5 ml minyak wijen', '3. 5 g saos tiram', '4. 150 gram daging sapi giling', '5. 70 gram brokoli', '6. 113 gram jamur shimeji', '7. 13 gram bawang putih']","['1. Tumis bawang putih dengan mentega sampai wangi.', '2. Masukkan daging dan jamur, masak hingga matang.', '3. Masukkan brokoli.', '4. Masukkan saus tiram dan minyak wijen, tumis hingga matang.']",2 porsi,283,17.91,8.54,22.3,2.4,66,https://m.ftscrt.com/static/recipe/526a28eb-b264-4f4b-85e4-f0fb9ed7af5c.jpg
Sop,"['1. 6 ml minyak goreng', '2. 10 g bumbu racik sayur sop', '3. 22 g jamur enoki', '4. 20 g kaldu jamur', '5. 51 gram brokoli dimasak (dari segar)', '6. 15 gram bawang merah', '7. 2 1/2 ons, tanpa tulang dada ayam rebus', '8. 1 porsi udang kukus atau rebus', '9. 3 sdt garam', '10. 17 gram cabai merah atau rawit', '11. 36 gram kulit ayam', '12. 130 gram wortel', '13. 15 gram bawang putih', '14. 93 gram tomat merah', '15. 2 sdt gula pasir']","['1. Tumis bawang merah, bawang putih, cabai (optional kalau ingin pedas) menggunakan minyak hingga wangi.', '2. Masukkan air kedalam tumisan tadi, biarkan sampai air mendidih.', '3. Masukan ayam, udang, dan sayur-sayuran kedalam air.', '4. Tambahkan garam, gula, dan kaldu, racik sayur sop sesuai selera lalu tunggu hingga matang.']",2 porsi,353,14.89,26.47,28.6,6,122,https://m.ftscrt.com/static/recipe/4023f8aa-f35d-4576-aa54-f67ab88a7e1a.jpg
Chicken Ramen Shirataki,"['1. 1 ml minyak goreng', '2. 3 g royco kaldu rasa sapi', '3. 50 g mie kering', '4. 100 gram dada ayam (kulit tidak dimakan)', '5. 50 gram kecambah', '6. 1 kecil bawang merah', '7. 1 siung bawang putih', '8. 1 gelas air', '9. 50 gram wortel', '10. 40 gram tomat merah']","['1. Iris ayam hingga tipis tipis.', '2. Potong-potong tomat dan wortel sesuai keinginan.', '3. Cincang bawang merah dan bawang putih.', '4. Panaskan minyak kemudian tumis bawang merah, bawang putih, dan tomat.', '5. Masukkan air dan tunggu hingga hampir mendidih.', '6. Masukkan ayam dan royco perlahan.', '7. Ketika ayam sudah matang, keluarkan ayam dari rebusan.', '8. Masukkan sayuran dan mie shirataki. Tunggu hingga matang!']",1 porsi,426,4.95,60.77,34.2,10.1,84,https://m.ftscrt.com/static/recipe/0e455b1a-5bb4-44af-aeb0-c1dbe28b9fad.jpg
Pokcoy Ayam Saus Tiram,"['1. 10 g tepung pati jagung', '2. 15 g saos tiram', '3. 15 ml kecap manis light', '4. 1 sejumput lada hitam', '5. 150 gram pakcoy', '6. 1 bawang bombay', '7. 1 siung bawang putih', '8. 1 sdt jahe', '9. 200 gram daging dada ayam (ayam pedaging)', '10. 100 ml air']","['1. Larutkan maizena dengan sedikit air.', '2. Didihkan air dan rebus pokcoy selama 2 menit. Hapus dari panas dan tiriskan.', '3. Dalam wajan panas, tumis bawang putih, jahe, dan bawang bombay hingga harum.', '4. Masukkan ayam yang sudah dipotong-potong ke dalam wajan dan masak hingga berubah warna.', '5. Tambahkan saus tiram, kecap asin, merica, air, dan tepung maizena yang sudah dilarutkan.', '6. Aduk, biarkan bumbu meresap dan angkat dari api.', '7. Tata pokcoy di piring dan tuangkan di atas ayam yang sudah dimasak.']",1 porsi,327,2.66,25.38,47.66,1.6,116,https://m.ftscrt.com/static/recipe/9f7c5bda-700d-4a3b-b9dc-b05623d4193a.jpg
Chicken Deopbap,"['1. 1 kecil young green onions', '2. 1 sdm soy sauce', '3. 1 kecil chicken thigh', '4. 1 sedang egg', '5. 1 1/2 cups cooked young green onion']","['1. Tumis ayam tanpa minyak sampai kecoklatan.', '2. Masukan bawang bombay, tumis sampai layu dgn ayam td, masukan air secukupnya tunggu mendidih.', '3. Masukan telur yg sudah dikocok lepas, lalu masukan kecap asin dan daun bawang. Bumbui dengan garam dan merica sesuai selera. Tutup wajan sampai telur matang.']",1 porsi,428,25.95,26.96,26.48,8.9,237,https://m.ftscrt.com/static/recipe/3c5227c1-5a1e-4d97-a76b-5bae54c2b336.jpg
Semur Tahu,"['1. 1 takaran royco ayam', '2. 1 sendok makan minyak goreng sawit', '3. 2 sdm kecap manis', '4. 2 sendok saus sambal', '5. 100 gram tahu', '6. 20 gram cabai merah besar', '7. 2 siung bawang putih', '8. 1 utuh sedang tomat merah', '9. 1 gelas air', '10. 3 kecil bawang merah']","['1. Dalam wajan panas dengan minyak, tumis bawang putih, bawang merah, dan cabai merah.', '2. Tambahkan tomat cincang, air dan kecap.', '3. Terakhir masukkan tahu dan saus sambal. Campur dengan baik.', '4. Masak hingga kental dan tambahkan royco. Aduk dan pindahkan ke dalam mangkuk.']",2 porsi,212,7.23,32.8,5.84,2.5,0,https://m.ftscrt.com/static/recipe/4f948cfc-5dc3-4448-9dd5-a4fe7fa1c8de.jpg
Tumis Tahu Telur Wortel,"['1. 100 gram tahu', '2. 100 gram kacang panjang hijau', '3. 1 besar putih telur', '4. 1 siung bawang putih', '5. 100 gram wortel', '6. 2 kecil bawang merah', '7. 1 utuh sedang tomat merah']","['1. Tumis bawang putih bawang merah dan bawang putih yang sudah dicincang halus.', '2. Masukkan tomat yang sudah di iris.', '3. Tumis sampai layu dan wangi tambahkan, garam secukupnya.', '4. Kemuadian masukkan air sedikit lalu masukkan tahu dan putuh telur.', '5. Setelah itu masukkan kacang dan wortel tumis sampai matang.']",1 porsi,252,5.75,39.01,16.88,10.1,0,https://m.ftscrt.com/static/recipe/bcd9772a-1e28-40c4-b414-6c96127409bb.jpg
